source,text,rating,date,author,source_url,collected_at,is_paraphrase
YouTube,"3-year Wiom user walks through app sign-up and an advance booking fee (~Rs.50) that is credited against the first recharge; confirms installation itself is free. Plan auto-upgraded from Rs.450 to Rs.500 without his request, though he regularly gets discount coupons (Rs.105 off on his latest recharge). Reports ~75 Mbps speed with no buffering on TV/OTT streaming. Says customer support has improved a lot - outages now fixed in roughly 1-1.5 hours, and Wiom credits 4 extra hours of validity if a downtime complaint is filed, which he calls a real plus over other ISPs. Overall verdict: service is much better than before, though he advises checking with existing local users first since experience varies by area.",,2026-02-24,Tech New,https://www.youtube.com/watch?v=rVY1puDk71g,2026-06-17,yes
YouTube,Bhai router wo log dete hai ki khudka hota hai,,2026-03-17,@AakashJha-t2i,https://www.youtube.com/watch?v=rVY1puDk71g,2026-06-17,no
YouTube,15 ko end hogya hai 5 din nahi mile,,2026-04-17,@VFXSCORPIONTEAM,https://www.youtube.com/watch?v=rVY1puDk71g,2026-06-17,no
YouTube,"Bhai mai isi ke Customer service me kaam karta hu. Koi bhi issu ho puchh sakte ho. Baaki ha ab ye 28 din ka 575 wala plan hata ke hum 1,7,14,28 din ka recharge bhi karne wale hai jisme bhi connection lag jayega mast manga lo or chaho to 1 din ka kara lo recharge or sab me speed bhi 80-100 mbps denge",,2026-04-17,@alphadragon7408,https://www.youtube.com/watch?v=rVY1puDk71g,2026-06-17,no
YouTube,Bha me 500 vala plan use krta hu achank 565 rupe mangne lgahe recharg ke kyo,,2026-04-17,@dilkibaaate1547,https://www.youtube.com/watch?v=rVY1puDk71g,2026-06-17,no
YouTube,Mera bhi 500 ka tha ab 565 ka aa rha h ab,,2026-05-17,@sujatagupta7837,https://www.youtube.com/watch?v=rVY1puDk71g,2026-06-17,no
YouTube,Kuch nahi milta kyon notanki karke bol raha mera 5 din baad chalu hua,,2026-04-17,@VFXSCORPIONTEAM,https://www.youtube.com/watch?v=rVY1puDk71g,2026-06-17,no
YouTube,Bahut bekaar company hai yaar aur service bhi bahut bekaar hai,,2026-05-17,@akashdelmaliya,https://www.youtube.com/watch?v=rVY1puDk71g,2026-06-17,no
YouTube,Mera recharge to 575 ka ha per month ka ghaziabad me,,2026-03-17,@umeshgaming6250,https://www.youtube.com/watch?v=rVY1puDk71g,2026-06-17,no
YouTube,"One week into using Wiom; installation is literally free (only pays for recharge), but router/cable/adapter remain company property - extra charges apply if the user damages them through their own fault. Installation took a full day instead of the advertised 3-4 hours, which he calls slow service. Internet dropped 2-3 days after install; fixed in about 30 minutes after filing a complaint. Rs.500/month plan gives 50 Mbps (a 100 Mbps tier also exists at an unknown price). No OTT apps/channels bundled like Airtel/Jio Fiber, just unlimited data; handles 6-10 devices fine. Dislikes a shared community-WiFi feature that lets neighbors pay Rs.5/hr or Rs.10/2hr to use his connection without his control. Currently mainly available in Delhi. Explicitly refuses to recommend for or against, calling it 'too early to say good or bad' after one week, leaning slightly positive since it is working so far.",,2026-05-12,Vipin Chaudhary Vlogs,https://www.youtube.com/watch?v=J7hZ1ATsEBU,2026-06-17,yes
